iter	Passed	Remaining
0	153	153027
1	156	77846
2	158	52716
3	183	45749
4	189	37639
5	193	31979
6	197	27960
7	201	24926
8	204	22562
9	219	21757
10	224	20158
11	227	18733
12	231	17547
13	234	16514
14	236	15561
15	239	14736
16	242	14018
17	246	13423
18	258	13322
19	261	12793
20	284	13285
21	287	12801
22	318	13536
23	321	13078
24	326	12714
25	336	12621
26	343	12375
27	683	23715
28	722	24194
29	824	26666
30	828	25900
31	836	25293
32	841	24649
33	862	24494
34	867	23918
35	1000	26788
36	1003	26122
37	1009	25559
38	1012	24954
39	1020	24488
40	1036	24251
41	1040	23736
42	1045	23265
43	1048	22786
44	1052	22326
45	1055	21896
46	1059	21477
47	1065	21133
48	1068	20733
49	1434	27264
50	1446	26922
51	1454	26522
52	1458	26064
53	1463	25642
54	1466	25205
55	1475	24866
56	1486	24599
57	1492	24247
58	1499	23917
59	1686	26420
60	1688	25999
61	1691	25591
62	1694	25208
63	1697	24829
64	1700	24465
65	1703	24113
66	1706	23767
67	1710	23439
68	1714	23132
69	1837	24414
70	1840	24083
71	1843	23759
72	1846	23444
73	1849	23138
74	1852	22843
75	1855	22557
76	1861	22307
77	1863	22030
78	1866	21762
79	1996	22954
80	1999	22680
81	2001	22411
82	2005	22152
83	2008	21907
84	2017	21720
85	2022	21499
86	2027	21280
87	2034	21089
88	2040	20886
89	2047	20700
90	2051	20488
91	2194	21658
92	2213	21586
93	2233	21524
94	2254	21481
95	2638	24841
96	2650	24672
97	2654	24428
98	2658	24190
99	2665	23988
100	2668	23748
101	2670	23512
102	2673	23281
103	2676	23059
104	2726	23241
105	2730	23026
106	2732	22807
107	2735	22592
108	2739	22392
109	2743	22199
110	2746	21994
111	2748	21793
112	2754	21619
113	2797	21743
114	2800	21551
115	2803	21361
116	2805	21174
117	2808	20989
118	2810	20808
119	2811	20619
120	2814	20443
121	2816	20271
122	2818	20096
123	2821	19929
124	2823	19765
125	2826	19604
126	2879	19792
127	2882	19633
128	2884	19478
129	2887	19324
130	2890	19172
131	2892	19021
132	2895	18873
133	2897	18726
134	2900	18582
135	2901	18432
136	2909	18325
137	2947	18411
138	2951	18279
139	2954	18147
140	2958	18022
141	2962	17897
142	2966	17775
143	2969	17649
144	2971	17518
145	2972	17387
146	2976	17271
147	2997	17255
148	2998	17128
149	3000	17004
150	3004	16894
151	3006	16772
152	3009	16660
153	3013	16555
154	3017	16449
155	3018	16331
156	3022	16229
157	3023	16115
158	3043	16095
159	3046	15995
160	3050	15896
161	3051	15786
162	3057	15702
163	3062	15610
164	3067	15522
165	3071	15430
166	3075	15340
167	3089	15302
168	3093	15213
169	3097	15124
170	3102	15038
171	3103	14939
172	3106	14849
173	3110	14767
174	3114	14682
175	3115	14587
176	3117	14493
177	3136	14486
178	3138	14394
179	3141	14309
180	3143	14221
